,precision,recall,f1-score,support
anger,0.6331058020477816,0.742,0.6832412523020258,500.0
anxiety,0.7309236947791165,0.7265469061876247,0.7287287287287287,501.0
fear,0.7594458438287154,0.7841352405721717,0.7715930902111324,769.0
grief,0.8104166666666667,0.7764471057884231,0.7930682976554536,501.0
sadness,0.7785714285714286,0.6449704142011834,0.7055016181229773,507.0
accuracy,0.7393808495320374,0.7393808495320374,0.7393808495320374,0.7393808495320374
macro avg,0.7424926871787417,0.7348199333498806,0.7364265974040636,2778.0
weighted avg,0.7442454968676114,0.7393808495320374,0.7397715418035271,2778.0
