,precision,recall,f1-score,support
0,0.7587548638132295,0.7707509881422925,0.7647058823529411,506.0
1,0.8190661478599222,0.8303747534516766,0.8246816846229187,507.0
2,0.8372093023255814,0.8571428571428571,0.8470588235294118,504.0
3,0.8253968253968254,0.8125,0.8188976377952756,512.0
4,0.8263473053892215,0.7961538461538461,0.8109696376101861,520.0
accuracy,0.8132601020007846,0.8132601020007846,0.8132601020007846,0.8132601020007846
macro avg,0.8133548889569561,0.8133844889781345,0.8132627331821467,2549.0
weighted avg,0.8134381168427374,0.8132601020007846,0.8132413651399409,2549.0
