,precision,recall,f1-score,support
anger,0.4647058823529412,0.5249169435215947,0.49297971918876754,301.0
anxiety,0.4878048780487805,0.4166666666666667,0.449438202247191,240.0
fear,0.3404255319148936,0.37735849056603776,0.3579418344519016,212.0
grief,0.49377593360995853,0.49583333333333335,0.49480249480249483,240.0
sadness,0.6231155778894473,0.5462555066079295,0.5821596244131455,227.0
accuracy,0.47622950819672133,0.47622950819672133,0.47622950819672133,0.47622950819672133
macro avg,0.4819655607632042,0.47220618813911236,0.4754643750207001,1220.0
weighted avg,0.4828469789616349,0.47622950819672133,0.477900464273222,1220.0
