,precision,recall,f1-score,support
anger,0.4166666666666667,0.7641196013289037,0.5392731535756154,301.0
anxiety,0.567741935483871,0.36666666666666664,0.44556962025316454,240.0
fear,0.46938775510204084,0.2169811320754717,0.2967741935483871,212.0
grief,0.49230769230769234,0.5333333333333333,0.512,240.0
sadness,0.7548387096774194,0.5154185022026432,0.612565445026178,227.0
accuracy,0.49918032786885247,0.49918032786885247,0.49918032786885247,0.49918032786885247
macro avg,0.540188551847538,0.4793038471214038,0.481236482480669,1220.0
weighted avg,0.5333501381270891,0.49918032786885247,0.4869724697870658,1220.0
