,precision,recall,f1-score,support
anger,0.43908629441624364,0.574750830564784,0.497841726618705,301.0
anxiety,0.5108225108225108,0.49166666666666664,0.5010615711252654,240.0
fear,0.4166666666666667,0.35377358490566035,0.3826530612244898,212.0
grief,0.5130434782608696,0.49166666666666664,0.502127659574468,240.0
sadness,0.6810810810810811,0.5550660792951542,0.6116504854368932,227.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.5121400062494744,0.49338476561978634,0.4990669007959642,1220.0
weighted avg,0.5088783202770815,0.5,0.5004777739786335,1220.0
