,precision,recall,f1-score,support
0,0.673469387755102,0.726,0.6987487969201155,500.0
1,0.7300970873786408,0.7504990019960079,0.7401574803149606,501.0
2,0.799492385786802,0.8192457737321196,0.8092485549132948,769.0
3,0.8024193548387096,0.7944111776447106,0.79839518555667,501.0
4,0.8113636363636364,0.7041420118343196,0.7539598732840549,507.0
accuracy,0.7645788336933045,0.7645788336933045,0.7645788336933045,0.7645788336933045
macro avg,0.7633683704245782,0.7588595930414316,0.7601019781978191,2778.0
weighted avg,0.7669893591558166,0.7645788336933045,0.7648520801098215,2778.0
