,precision,recall,f1-score,support
0,0.7524557956777996,0.7569169960474308,0.7546798029556651,506.0
1,0.7911877394636015,0.814595660749507,0.8027210884353742,507.0
2,0.8107074569789675,0.8412698412698413,0.8257059396299903,504.0
3,0.820675105485232,0.759765625,0.7890466531440162,512.0
4,0.7927063339731286,0.7942307692307692,0.7934678194044188,520.0
accuracy,0.793252255786583,0.793252255786583,0.793252255786583,0.793252255786583
macro avg,0.7935464863157459,0.7933557784595096,0.7931242607138929,2549.0
weighted avg,0.7935913387653504,0.793252255786583,0.7930947501788349,2549.0
