,precision,recall,f1-score,support
0,0.7481203007518797,0.7865612648221344,0.766859344894027,506.0
1,0.8053949903660886,0.8244575936883629,0.8148148148148148,507.0
2,0.8385214007782101,0.8551587301587301,0.8467583497053045,504.0
3,0.8308977035490606,0.77734375,0.8032290615539859,512.0
4,0.8257425742574257,0.801923076923077,0.8136585365853658,520.0
accuracy,0.8089446841898784,0.8089446841898784,0.8089446841898784,0.8089446841898784
macro avg,0.8097353939405331,0.8090888831184608,0.8090640215106996,2549.0
weighted avg,0.8098488352762873,0.8089446841898784,0.8090482018120805,2549.0
