,precision,recall,f1-score,support
0,0.7005545286506469,0.7490118577075099,0.7239732569245463,506.0
1,0.7766990291262136,0.7889546351084813,0.7827788649706457,507.0
2,0.8080614203454894,0.8353174603174603,0.8214634146341463,504.0
3,0.826722338204593,0.7734375,0.7991927346115035,512.0
4,0.7910750507099391,0.75,0.769990128331688,520.0
accuracy,0.7791290702236171,0.7791290702236171,0.7791290702236171,0.7791290702236171
macro avg,0.7806224734073763,0.7793442906266903,0.7794796798945061,2549.0
weighted avg,0.7807653270491425,0.7791290702236171,0.7794423147795666,2549.0
