,precision,recall,f1-score,support
anger,0.7096774193548387,0.782608695652174,0.7443609022556391,506.0
anxiety,0.8095238095238095,0.8047337278106509,0.8071216617210683,507.0
fear,0.8346456692913385,0.8412698412698413,0.8379446640316206,504.0
grief,0.808641975308642,0.767578125,0.7875751503006012,512.0
sadness,0.8052738336713996,0.7634615384615384,0.7838104639684107,520.0
accuracy,0.7916830129462534,0.7916830129462534,0.7916830129462534,0.7916830129462534
macro avg,0.7935525414300056,0.7919303856388409,0.7921625684554681,2549.0
weighted avg,0.7936264604990612,0.7916830129462534,0.7920758446148894,2549.0
