,precision,recall,f1-score,support
0,0.6486486486486487,0.72,0.6824644549763034,500.0
1,0.7782258064516129,0.7704590818363274,0.7743229689067201,501.0
2,0.8061617458279846,0.8166449934980494,0.8113695090439277,769.0
3,0.782608695652174,0.7904191616766467,0.7864945382323734,501.0
4,0.8076923076923077,0.7041420118343196,0.7523709167544784,507.0
accuracy,0.765658747300216,0.765658747300216,0.765658747300216,0.765658747300216
macro avg,0.7646674408545456,0.7603330497690687,0.7614044775827606,2778.0
weighted avg,0.7688051808567464,0.765658747300216,0.7662336234032175,2778.0
