,precision,recall,f1-score,support
anger,0.4682352941176471,0.6611295681063123,0.5482093663911846,301.0
anxiety,0.5428571428571428,0.475,0.5066666666666667,240.0
fear,0.41361256544502617,0.37264150943396224,0.3920595533498759,212.0
grief,0.5526315789473685,0.525,0.5384615384615384,240.0
sadness,0.7228915662650602,0.5286343612334802,0.6106870229007634,227.0
accuracy,0.5229508196721312,0.5229508196721312,0.5229508196721312,0.5229508196721312
macro avg,0.540045629526449,0.512481087754751,0.5192168295540058,1220.0
weighted avg,0.5374084968680399,0.5229508196721312,0.5226101377239039,1220.0
