,precision,recall,f1-score,support
anger,0.5249169435215947,0.5249169435215947,0.5249169435215947,301.0
anxiety,0.4881889763779528,0.5166666666666667,0.5020242914979757,240.0
fear,0.3952569169960474,0.4716981132075472,0.43010752688172044,212.0
grief,0.5299145299145299,0.5166666666666667,0.5232067510548524,240.0
sadness,0.7078651685393258,0.5550660792951542,0.6222222222222222,227.0
accuracy,0.5180327868852459,0.5180327868852459,0.5180327868852459,0.5180327868852459
macro avg,0.5292285070698901,0.5170028938715259,0.5204955470356731,1220.0
weighted avg,0.5301841812883483,0.5180327868852459,0.5217071232426622,1220.0
