,precision,recall,f1-score,support
anger,0.6360544217687075,0.748,0.6875,500.0
anxiety,0.7667342799188641,0.7544910179640718,0.7605633802816901,501.0
fear,0.8347107438016529,0.788036410923277,0.8107023411371237,769.0
grief,0.7995951417004049,0.7884231536926147,0.7939698492462312,501.0
sadness,0.7840670859538784,0.73767258382643,0.7601626016260162,507.0
accuracy,0.765658747300216,0.765658747300216,0.765658747300216,0.765658747300216
macro avg,0.7642323346287017,0.7633246332812786,0.7625796344582123,2778.0
weighted avg,0.7711205276017621,0.765658747300216,0.7672439479310031,2778.0
