,precision,recall,f1-score,support
0,0.7407407407407407,0.7905138339920948,0.7648183556405354,506.0
1,0.8132295719844358,0.8244575936883629,0.8188050930460333,507.0
2,0.8241965973534972,0.8650793650793651,0.8441432720232332,504.0
3,0.8305439330543933,0.775390625,0.802020202020202,512.0
4,0.8442622950819673,0.7923076923076923,0.8174603174603174,520.0
accuracy,0.8093369948999608,0.8093369948999608,0.8093369948999608,0.8093369948999608
macro avg,0.8105946276430067,0.8095498220135031,0.8094494480380643,2549.0
weighted avg,0.8108168615314078,0.8093369948999608,0.8094524079018706,2549.0
