,precision,recall,f1-score,support
anger,0.5594405594405595,0.53156146179402,0.545144804088586,301.0
anxiety,0.556910569105691,0.5708333333333333,0.5637860082304527,240.0
fear,0.4859437751004016,0.5707547169811321,0.5249457700650759,212.0
grief,0.5161290322580645,0.5333333333333333,0.5245901639344263,240.0
sadness,0.7120418848167539,0.5991189427312775,0.6507177033492823,227.0
accuracy,0.559016393442623,0.559016393442623,0.559016393442623,0.559016393442623
macro avg,0.566093164144294,0.5611203576346192,0.5618368899335646,1220.0
weighted avg,0.5660448367980312,0.559016393442623,0.5609018764461627,1220.0
